Year,"Edinburgh, United Kingdom","London, United Kingdom","Cairo, Egypt","Beijing, China","Sydney, Australia","New York City, USA","Santiago, Chile","Berlin, Germany","Riyadh, Saudi Arabia","Astana, Kazakhstan"
1927,22.65144825427028,55.25407586576879,23.51300113384807,14.39365723033917,3.802295032612369,31.40498634412694,9.9741070504691,40.79928408491882,59.20145199294343,10.86109886309232
1928,21.29381833409794,52.4283605957395,23.07308269679324,14.23424999385706,3.904430215506011,30.96719830450159,10.10169911106608,40.78416437067035,64.31893659995303,9.176068700825844
1929,22.33654153740432,56.20726453263931,23.20264138847975,14.69338017085381,3.849267891495706,32.00070844452398,10.50546682254939,40.25055182166611,65.06988925164539,9.705010248672957
1930,23.01905242752941,54.75312765746339,23.42116401915755,14.53417034859234,3.891359479789114,26.938527846519,10.42547875872088,40.26201540112783,65.68239261542925,9.781299626955253
1931,20.92403062338329,52.81358916409388,23.05167435024178,14.45482490840948,3.803591450373561,24.65692295307329,10.45994575471883,36.07557952726664,72.18253362138579,10.55191135998643
1932,20.56624743439411,50.25994063590517,22.95970270209446,14.47133250396953,3.775420153066402,22.51193145205692,9.655490707034117,32.76919373673378,60.11101611437552,9.978477100593432
1933,19.80772796022897,48.80120782355104,21.9366564872564,14.92564268285227,3.610582598124222,23.73748598865722,10.40037639513039,33.46435673607218,61.94215366660141,9.356618949421012
1934,22.25189278518667,51.35785857944825,23.92711122928731,14.6029164816542,3.78738522047206,23.30402833795171,10.58585765637296,38.38826190433333,67.31845796006718,9.336079396373114
1935,21.56854382083434,54.29894512601905,23.40766861353705,14.4231200308619,4.007786475834699,23.43704894636416,10.806887225447,38.83166307853661,60.68162429915093,9.033193774017734
1936,22.02243950351623,53.63308058475045,24.59350846890108,15.70407868794413,3.738464878478259,25.30877409839203,11.15141994744039,40.16628908513272,65.36089074551921,9.623442819421523
1937,21.48883082126737,55.19713206122172,23.60125060410222,14.81172569261567,4.019260718292278,27.06805133519401,11.65927632845128,41.1602020840041,69.86225877919618,9.541652200876753
1938,24.42928994597671,58.7615651958333,23.67291067618658,14.94957577573669,3.641063240449677,23.24778020569928,11.51368975847359,49.06364921274034,65.80120156499027,10.18518416997405
1939,23.17465898353438,54.78808090372672,23.96008733864834,15.62859656749467,4.067339996758038,25.27894790336427,11.71350848078628,44.31640855507219,64.36515657137141,9.248080440553515
1940,23.08317533251391,59.89607206866049,23.9573084870637,14.89331794803067,3.83053603071511,26.135143688513,11.88140338832583,49.99873438190205,69.09428194393347,9.361652435852882
1941,20.57714395832961,53.67377511960112,24.40826525415353,15.35538823038514,3.753708843006146,25.45284854888655,12.40634571237734,45.8666994637105,71.20095955365697,9.761587041634542
1942,23.01188635652313,52.86113398286123,23.06649117914337,16.02899068597569,3.930582484075825,28.75839445971538,12.6996943719053,50.04740566425141,64.68788646823218,10.0941720821555
1943,22.55894849146408,56.07756120520308,23.36819983958162,14.99074580454406,4.012247039198209,26.60900899451829,12.95984962174551,48.33344785090102,65.8835255191113,9.080554459932385
1944,22.45557941645733,54.81014335836293,24.43106542528572,15.90111025232824,3.745993042235219,28.827921608101,12.83853536449516,44.4947122817077,67.88381841673375,9.234531750217544
1945,19.35267086639574,48.04923469867608,22.06125066198334,14.53281850006026,3.816256613832098,26.18999425321266,13.90365570240111,22.68117259813403,66.33307449518354,9.979784488915499
1946,19.31421051427697,49.79139246703898,22.38448807286537,14.73217142778524,3.733166095577178,25.91562995034622,12.1569594284877,29.79312042315252,66.2114585726341,10.36066016254934
1947,23.28006825081378,58.39911087300649,22.03528208631508,15.61129857874912,3.765409829588375,26.56029679835804,12.71071334178585,33.55114118209862,72.38647669037081,9.65526490074598
1948,22.42309727923086,55.79251697131296,23.74171754442861,15.1923185183657,3.907695691955337,26.97090817335134,13.28114734827922,34.20786466870998,71.4353320032958,10.38409219926587
1949,22.70847160128709,57.61865873797454,22.26335129013543,15.5122363928436,3.857698360875448,22.56504669405757,12.96011873786007,40.45484237725936,68.3665418526535,9.823398750303262
1950,25.07861001205945,61.61115846094035,22.44945258773352,16.30850574768432,4.451365332063691,24.06642457595491,13.37454038094053,43.24156104749159,63.52506006857462,11.32869089797844
1951,24.35748252802397,65.33823634568405,24.6419073634727,16.71816516219728,4.504930908179785,23.87599549635803,13.52121815644821,47.99917507148966,61.89775986923807,11.55156171604278
1952,23.33476292341587,58.95700745342617,24.09420723417513,16.65817338741485,4.504722047174437,22.4488851567759,13.46700472730627,50.27355905823522,67.71330994424441,12.24912610136946
1953,23.05337317223027,57.81246784924494,22.45284628390087,18.08487908915024,4.106386893790065,21.19921145795128,13.19121256318527,46.88194477090167,66.07554604196118,11.80836755368398
1954,24.58607738008802,62.01503869922301,24.17856527296277,17.81507491117638,4.497562734078222,20.0070155243606,12.65051516719256,50.52972499391907,66.44095289603565,11.0949775942929
1955,25.38392177710417,61.01785861489304,23.12169569316379,18.41790638281029,4.23057781085579,21.70954242176814,13.29599421754861,52.3424833798613,70.4386823140193,12.09741010568083
1956,24.4587429037445,59.36661429310849,23.66476255864765,20.09189999205209,4.69339067304475,22.67893484027104,13.07253321949588,55.04228229656633,67.8233113686286,10.80633239078291
1957,25.10080481526862,64.81816170074485,22.86944569222365,23.04788966114104,4.871176698583376,22.09594992087976,12.29736338008992,57.20780464757098,65.25211589990087,11.48686688983158
1958,24.4988841615117,56.85955309950128,23.29643433530406,26.4014744531728,4.661154754804262,19.77102803827995,12.51594153747937,51.2114585993936,69.03428580388582,12.34523349180429
1959,23.22505121334651,53.70478226384304,23.59499602973011,30.17454808946032,4.363219517105126,20.89772206839261,12.49694550259415,54.22007256504014,67.85632080432974,12.15994099450377
1960,24.1839176912065,57.3768150988609,23.5942565778161,31.30631281200414,4.656289291948601,19.8364475101425,12.59358943568095,56.4129845358126,65.85235982029572,12.59886214844119
1961,24.38886912398493,60.60200640775039,24.15942967200623,27.44440776025133,4.4401701232432,21.78904815554158,12.65051945506509,60.37236948124126,67.08346523029381,12.57713219607601
1962,23.46750743632001,57.30349516304246,24.89065650136534,26.08933583059578,4.615531502268722,21.4025739578231,12.69643937837241,62.62965304356062,70.73273869974759,11.03932078398683
1963,24.70368223694753,55.71629165475746,25.63207530685653,25.44140176644129,4.38475740311523,22.27935425208687,13.00997262801688,58.10966817041539,70.11300681213413,12.30366274100552
1964,22.59680847905564,52.93270546421002,25.51382072977235,25.19868241948096,4.465750497849915,21.25106744126814,13.17211687437084,64.43670620293503,67.27866938521683,13.8672816489332
1965,24.19844340941897,56.97371046230631,27.82873169943178,25.12240213511744,4.733087336504914,20.30819392686008,12.98382540635837,60.29562055678756,73.04684963648546,13.25932139918617
1966,21.73806300738173,47.91827924713797,27.45474800820267,25.45232985302733,4.640990509592311,20.98285987578982,13.53821747821082,58.92206881239525,63.42964019129047,11.54992037160886
1967,21.87383605496979,44.75262255577447,25.68316207581585,25.21969665525105,4.619336258125077,20.49796493428472,13.90309320603045,58.21871505659123,73.00150044636592,12.17849299015326
1968,20.93245323007392,42.34706713955465,28.75393084155452,24.78487640991689,4.47680523685409,19.65316066350527,13.82477126328242,57.70542679233811,74.18520883089255,13.81671126513803
1969,20.70803081984644,39.83053490990339,29.10219075053628,25.83882410772723,4.888869567178377,19.56134373296873,14.51150760341494,55.42142808495608,70.84041081864086,13.21859815384137
1970,19.86988908543607,35.99424889734046,29.86917053771364,28.38161553617669,4.796635506384685,18.06545224062906,14.57129914135134,56.1369306412987,71.13544510291767,13.85601517017856
1971,18.42641026630612,32.77849517132194,29.26866823132488,29.26770833914691,5.012821263266497,21.66025957995741,14.54699614457219,55.37087047773596,71.51813902958662,13.85235074823841
1972,18.52172548250589,30.02377045010592,29.34720570309964,29.99967363715638,4.841360335270621,20.76139739308857,14.42492950389192,54.30343273369064,69.18040505103845,12.94993249809496
1973,19.01551322252493,30.0238871955153,29.38150327407078,30.98889293964917,4.417248612208721,20.38676895700024,14.56717789758112,53.62086626128197,72.87542943862016,13.40134997384991
1974,18.80142593471065,30.86513783029604,30.68652357017296,31.36873001381788,4.788961701020311,20.30457348018746,14.85068082075784,57.66421912473328,71.68002846866706,12.37577760423734
1975,17.29575481445197,25.69319059041129,30.93481901013843,31.59558634832366,4.965956828978408,20.05068932326466,14.35508322042755,48.49214878984505,81.40221699929977,13.78853406934997
1976,16.85039547928138,25.94770331840827,33.77382316082443,35.09889747070966,5.081040977449534,19.88153189398455,15.14358859969223,50.59107191028392,70.33016730740346,14.14728088226569
1977,17.91700298214265,27.40461531748712,32.05363053357003,34.96772123665027,4.951723413689971,20.88976327689475,16.97256541860025,48.44689357516562,72.19206310030339,13.71541847642017
1978,18.01289867817809,26.8907833978605,33.36695920271058,37.21982939655469,5.143608622876727,20.26186110519322,17.55563421034908,53.04732996141782,73.00281476846007,13.63816806315006
1979,17.32605004002089,26.69038858897979,33.70693933667764,37.50351065219854,4.929081790227799,21.46096150159087,17.55071530655596,51.59809222830052,80.83856743452695,12.91471422700141
1980,18.07871770393182,26.70536436238373,34.18207904381728,40.18214441508726,4.855408834315996,19.20119314896437,18.43425102863193,52.96087223728146,71.18671731207195,11.7413348459732
1981,16.71137154525752,24.86216914146689,34.75066385866621,39.61706259190551,4.877317417376191,19.36624870174294,17.63764205772851,52.14971099676199,73.93265851244539,12.83221877602762
1982,16.50609686741428,23.00042545975747,33.84749176052756,39.05355322425836,4.821671573845708,19.72305466033262,17.6678085632741,47.25429568185412,74.36334858484597,12.72148387996493
1983,16.09550724387879,22.98563632992943,34.88229735878788,41.59738540587082,4.746505113405876,20.08501065651653,19.77936127631363,46.37372123935242,73.70161994493438,12.37754933252602
1984,15.625509866966,21.17202456146539,36.93773720841417,42.3084941200225,4.718599886564184,18.84936522065794,20.22139239571032,45.04058271082017,79.69872161760885,12.6800060573703
1985,16.31720920294924,22.57749097903367,37.62305902697312,44.89694086427938,4.788227141140851,19.4333041004383,20.6989249134837,49.63658427924409,74.74023543092206,12.44951097128977
1986,16.8053376005794,22.88028251677589,36.98575010406969,45.63579321130085,4.597916508391545,19.25085247473897,20.3703150317811,47.8901517706587,77.32611648374221,13.4577899325588
1987,15.54573970709982,22.28971727007902,37.4267152361652,46.57856542382859,4.386835753797869,19.65385881408978,21.76240517226461,42.4668567208381,89.81665070801778,11.73487251554663
1988,15.41230025496901,21.41000629642666,37.57890791135839,49.55777514814081,4.657295790629045,18.84216787298264,20.65785149150733,43.22013167589527,82.66302893153919,12.64258704972197
1989,15.9209068536172,22.12586275939613,37.8701638605931,47.6129135981606,4.909282714787741,19.90658251535998,21.51872860877555,43.65697674013401,78.15758144604003,11.70278788102915
1990,15.41842009918595,21.31664065847305,39.01280470513009,49.92979234875586,4.899076235476722,18.46112632476914,21.62551652936722,41.68195518625292,82.48396606239466,12.29965635193521
1991,15.39401541470464,20.68189818872152,38.26924809704251,49.96384210272482,4.696489824718051,18.51405749523949,23.65586384849263,36.05033559572588,79.34216914676361,11.88024028597623
1992,15.52630581555596,20.62285422794503,37.89051992003417,49.08317471826512,4.595838672848634,16.70708406019736,24.63298141042133,33.15307148026711,76.90842008793835,11.33038258374972
1993,14.71988763687623,19.16652690110703,37.85551247806763,50.70836316104737,5.185037123396393,15.60701331395166,22.62466760375192,30.72230259815804,80.86172325705495,11.19981082811325
1994,14.17204636915407,18.44279464462627,37.4994048114059,54.105428124221,4.818152990959034,16.07921835506258,22.55818412103116,29.0532175938132,80.45608803816998,10.76297814761423
1995,13.91697339814683,17.1638577052939,38.23818051783516,57.95799160882729,4.815791476666734,15.9953882254923,23.47947463661376,26.57395978161405,85.49712446010433,10.08633990218565
1996,13.06523848819298,16.73347044998253,39.1539989947862,56.90067292088172,5.045143512788217,14.8996021847572,24.83946649067315,24.36041898535124,78.14413983042463,9.818045227109204
1997,12.62063647655514,16.0833816697689,39.07699497892151,55.33721534028824,6.388621867946679,15.670067430059,25.7349137000013,24.12650726799552,83.24823553442612,11.25795424583626
1998,12.53768338610733,15.02042660997328,43.0009369734202,53.7669638925207,4.901630053399965,15.10306327810059,24.8968185256741,22.25289735659226,81.46520806317915,10.88695603606359
1999,11.51880758874939,13.89768502007814,41.20184662091766,50.98212421475905,4.885620720908523,14.81682797993788,26.33981855236025,20.8044029360506,80.71866637931737,10.04560059209499
2000,11.20175355391845,13.58360174810209,39.38158101028592,54.37544925294245,4.570053047545175,14.56266465142914,25.6490476282866,20.06505064339654,81.35411280501137,9.710202445494442
2001,11.09166717529297,13.25833225250244,41.96666717529297,55.57499694824219,6.916667461395264,14.61666774749756,24.6833324432373,19.32500076293945,82.375,10.61666584014893
2002,11.51666736602783,13.25,39.125,54.25000381469727,8.966666221618652,13.53333282470703,24.64999961853027,22.15833282470703,74.45000457763672,12.05833339691162
2003,11.85833358764648,14.86666488647461,45.14999771118164,66.92499542236328,7.533332824707031,13.64999866485596,25.43333435058594,21.84166717529297,92.00833129882812,12.13333225250244
2004,9.124999046325684,12.625,42.58333206176758,59.61666870117188,7.016666889190674,12.97499942779541,25.16666603088379,18.25833320617676,85.51666259765625,10.89166736602783
2005,9.033332824707031,12.80833435058594,38.21667098999023,62.15000534057617,6.325000286102295,14.41666793823242,25.34166526794434,18.69999885559082,84.2249984741211,11.04166698455811
2006,10.43333339691162,13.7333345413208,43.39166641235352,71.3833236694336,6.400000095367432,12.14999866485596,25.86666679382324,20.02499961853027,85.64166259765625,11.85833358764648
2007,8.983332633972168,13.43333339691162,40.81666946411133,71.07499694824219,5.608333110809326,13.30000019073486,26.40833282470703,15.60833263397217,85.8416748046875,12.09999942779541
2008,8.191666603088379,13.25000095367432,40.36666488647461,68.28333282470703,5.450000286102295,12.35000133514404,27.95833587646484,16.16666603088379,91.875,14.05833339691162
2009,8.433333396911621,13.57499980926514,45.97499465942383,84.4416732788086,5.883333206176758,10.34999942779541,26.74166870117188,17.88333320617676,94.85833740234375,13.89166641235352
2010,8.574999809265137,14.26666736602783,48.2166633605957,83.49166107177734,5.025000095367432,9.983333587646484,25.86666870117188,20.45833396911621,91.89166259765625,13.54166507720947
2011,9.675000190734863,15.67499923706055,43.32499694824219,82.60000610351562,5.066667079925537,11.06666660308838,27.51666450500488,19.00833320617676,95.20000457763672,11.34166717529297
2012,8.149999618530273,13.69999980926514,45.35000228881836,72.48332977294922,5.841667175292969,9.591666221618652,26.11666679382324,16.91666793823242,98.69165802001953,16.11666679382324
2013,8.491665840148926,15.29166793823242,49.43333435058594,82.84166717529297,7.533332824707031,9.800000190734863,26.14166450500488,16.05833435058594,95.125,13.25833225250244
